%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
106.0, 23283.521626415448, 19457.28295532262, 48828.257480652035, 33634.301559245774, 46621.06741917937, 4649.296957170601, 8323.432007245065, 3786.6090281735696, 0.0, 0.0, 10683.999739170044, -22188.91199695015, 14278.316709794606, 4372.917636980729, -13685.816667773328, -32490.898071634543, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747690180810238E9, 0.0, 2025-05-19 23:29:40.810
0.0, 11398.294436728293, 9659.328718105402, 24357.657057959685, 16765.93175720355, 22967.512663306316, 2007.678390464591, 4173.584779928301, 1831.8148650902351, 0.0, 0.0, 5334.377924725763, -11091.807316757122, 7141.024725559321, 2187.7440437965447, -6844.081800470567, -16243.54913753857, 0.056, -0.006, 1.034, 192.0, 0.5, 96.0, 127.5, 104.0, 16.0, 40.0, 0.0, 0.0, 0.0, 1.747690180886782E9, 0.0, 2025-05-19 23:29:40.886
2.0, 22795.65010018946, 19316.757537932102, 48717.12460722025, 33545.185154102466, 45928.56567246505, 4083.1719736065834, 8334.3173067948, 3656.4548202103165, 0.0, 0.0, 10437.415294339096, -22472.153302687802, 14336.45359712286, 4355.393869327769, -13203.667188127898, -32470.66974290249, 0.056, -0.006, 1.034, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747690180893837E9, 0.0, 2025-05-19 23:29:40.893
4.0, 22791.023289087214, 19314.365901275385, 48705.72521754804, 33525.1132875816, 45900.69304712928, 4032.32175497076, 8330.383399770666, 3643.826084593068, 0.0, 0.0, 10430.218032624487, -22478.970584746672, 14333.92784999941, 4343.703906977643, -13222.4203017259, -32476.414141227502, 0.056, -0.006, 1.034, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747690180900848E9, 0.0, 2025-05-19 23:29:40.900
6.0, 22800.969815369823, 19323.798337435524, 48726.31117419138, 33544.268732579796, 45947.989338396714, 4081.920275917086, 8346.253138333934, 3659.8746371119782, 0.0, 0.0, 10433.190814637044, -22471.25923290959, 14324.853041750555, 4338.540654008467, -13223.023798826194, -32485.19837679844, 0.056, -0.006, 1.034, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747690180908922E9, 0.0, 2025-05-19 23:29:40.908
8.0, 22799.69576593587, 19324.625351980372, 48719.471540388055, 33545.40867154702, 45944.43541102832, 4061.714298929489, 8312.345541995233, 3648.542302673138, 0.0, 0.0, 10446.713620032504, -22463.704343283694, 14352.300983941674, 4362.524075809011, -13198.481583414268, -32460.656161386512, 0.054, -0.002, 1.03, 192.0, 0.5, 88.0, 127.5, 120.0, 16.0, 24.0, 0.0, 0.0, 0.0, 1.747690180916937E9, 0.0, 2025-05-19 23:29:40.916
10.0, 22800.902760136458, 19325.698235714226, 48721.93023227814, 33531.37177602908, 45947.34113780751, 4058.830923894754, 8328.59526021424, 3654.1749422758753, 0.0, 0.0, 10436.58827979425, -22469.739314286628, 14330.239812164285, 4329.689363204166, -13231.04807508565, -32489.08758033366, 0.054, -0.002, 1.03, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747690180923971E9, 0.0, 2025-05-19 23:29:40.923
12.0, 22806.423641016918, 19327.2628578261, 48724.27716544595, 33553.16472687301, 45952.61614949896, 4069.6491682111227, 8328.259984047412, 3653.012651564199, 0.0, 0.0, 10447.853558999725, -22460.53039557104, 14348.300021684174, 4354.835075716385, -13200.381481692968, -32470.066245802194, 0.054, -0.002, 1.03, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747690180934082E9, 0.0, 2025-05-19 23:29:40.934
14.0, 22796.90179787896, 19318.16569783279, 48711.49196761751, 33524.50979048131, 45936.85816965797, 4034.9816125609414, 8306.668198903584, 3641.568558403082, 0.0, 0.0, 10442.39973335263, -22468.085285196936, 14345.260184438252, 4339.680592975687, -13226.354208750035, -32477.554080194725, 0.054, -0.002, 1.03, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.74769018094207E9, 0.0, 2025-05-19 23:29:40.942
16.0, 22792.297338521166, 19312.890686141334, 48714.04006648542, 33527.32611028267, 45934.80180916808, 4026.3314874567377, 8334.898452150637, 3651.9621195747995, 0.0, 0.0, 10438.868157728692, -22480.334041158443, 14322.55081207166, 4329.018810870506, -13224.878993615985, -32496.933042637476, 0.054, -0.002, 1.03, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.747690180948094E9, 0.0, 2025-05-19 23:29:40.948
