onset	duration	trial_type	stim_file
0.0	5.0	melodic	audio_phrases_ses-01-02.mp4
5.0	5.0	lyric	audio_phrases_ses-01-02.mp4
10.0	6.0	lyric	audio_phrases_ses-01-02.mp4
16.0	7.0	lyric	audio_phrases_ses-01-02.mp4
23.0	6.0	lyric	audio_phrases_ses-01-02.mp4
29.0	6.0	lyric	audio_phrases_ses-01-02.mp4
35.0	8.0	lyric	audio_phrases_ses-01-02.mp4
49.0	5.0	melodic	audio_phrases_ses-01-02.mp4
54.0	6.0	lyric	audio_phrases_ses-01-02.mp4
60.0	7.0	lyric	audio_phrases_ses-01-02.mp4
67.0	6.0	lyric	audio_phrases_ses-01-02.mp4
73.0	6.0	lyric	audio_phrases_ses-01-02.mp4
79.0	8.0	lyric	audio_phrases_ses-01-02.mp4
93.0	6.0	melodic	audio_phrases_ses-01-02.mp4
99.0	6.0	lyric	audio_phrases_ses-01-02.mp4
105.0	7.0	lyric	audio_phrases_ses-01-02.mp4
112.0	6.0	lyric	audio_phrases_ses-01-02.mp4
118.0	6.0	lyric	audio_phrases_ses-01-02.mp4
124.0	8.0	lyric	audio_phrases_ses-01-02.mp4
