onset	duration	trial_type	stim_file
1.000	2.352	imagine_sun	audio_instructions_ses-03.wav
7.352	1.080	relax	audio_instructions_ses-03.wav
12.432	2.352	imagine_sun	audio_instructions_ses-03.wav
18.784	1.080	relax	audio_instructions_ses-03.wav
23.864	2.352	imagine_sun	audio_instructions_ses-03.wav
30.216	1.080	relax	audio_instructions_ses-03.wav
35.296	2.352	imagine_sun	audio_instructions_ses-03.wav
41.648	1.080	relax	audio_instructions_ses-03.wav
46.728	2.352	imagine_sun	audio_instructions_ses-03.wav
53.080	1.080	relax	audio_instructions_ses-03.wav
58.160	2.352	imagine_sun	audio_instructions_ses-03.wav
64.512	1.080	relax	audio_instructions_ses-03.wav
69.592	2.352	imagine_sun	audio_instructions_ses-03.wav
75.944	1.080	relax	audio_instructions_ses-03.wav
81.024	2.352	imagine_sun	audio_instructions_ses-03.wav
87.376	1.080	relax	audio_instructions_ses-03.wav
92.456	2.352	imagine_sun	audio_instructions_ses-03.wav
98.808	1.080	relax	audio_instructions_ses-03.wav
103.888	2.352	imagine_sun	audio_instructions_ses-03.wav
110.240	1.080	relax	audio_instructions_ses-03.wav
115.320	2.352	imagine_sun	audio_instructions_ses-03.wav
121.672	1.080	relax	audio_instructions_ses-03.wav
126.752	2.352	imagine_sun	audio_instructions_ses-03.wav
133.104	1.080	relax	audio_instructions_ses-03.wav
138.184	2.352	imagine_sun	audio_instructions_ses-03.wav
144.536	1.080	relax	audio_instructions_ses-03.wav
149.616	2.352	imagine_sun	audio_instructions_ses-03.wav
155.968	1.080	relax	audio_instructions_ses-03.wav
161.048	2.352	imagine_sun	audio_instructions_ses-03.wav
167.400	1.080	relax	audio_instructions_ses-03.wav
