%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
0.0, -21142.716245975047, -20551.24438419871, -13654.211301113522, -33362.75021585825, -14469.312366165206, -13759.063334353368, -25295.178627393085, -48418.237080363884, -93750.01117587223, -93750.01117587223, -21211.11258400829, -20743.82701442564, -38049.776917669406, -22494.63915760984, -41733.657328326386, -14418.28333357374, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.7505249905633E9, 0.0, 2025-06-21 18:56:30.563
2.0, -42292.80856762035, -41117.91147207159, -27308.847285371696, -66735.93869637712, -28938.043586974574, -27502.81572375485, -50600.86257468016, -96842.53148347515, -187500.02235174447, -187500.02235174447, -42826.70233567981, -42050.269788535814, -76717.69132825034, -45418.67767795059, -83901.09496129691, -29120.389118240968, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.750524990569295E9, 0.0, 2025-06-21 18:56:30.569
4.0, -42289.12052978522, -41115.63159413714, -27305.203951025484, -66731.89303063072, -28928.4770403477, -27490.365802093245, -50599.52147001284, -96841.39154450793, -187500.02235174447, -187500.02235174447, -42843.48849576575, -42066.698320710464, -76724.0615754201, -45450.595969032765, -83894.38943796033, -29145.735996453288, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.750524990576374E9, 0.0, 2025-06-21 18:56:30.576
6.0, -42298.32944850081, -41120.88425408414, -27325.544038479813, -66737.57037372237, -28943.944447510774, -27510.415316869658, -50592.92770539853, -96843.73847767574, -187500.02235174447, -187500.02235174447, -42824.62362344547, -42044.21246578842, -76714.8526567045, -45416.15193082714, -83902.88310085335, -29117.796315884152, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.750524990582371E9, 0.0, 2025-06-21 18:56:30.582
8.0, -42322.31287030135, -41136.86575136969, -27352.03085565935, -66767.83463571485, -28957.377845928415, -27510.3929651252, -50638.480560598444, -96869.35357682152, -187500.02235174447, -187500.02235174447, -42865.52731579868, -42081.1822511175, -76745.25102916373, -45461.41421334913, -83924.02785110807, -29157.67182799242, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.750524990589405E9, 0.0, 2025-06-21 18:56:30.589
10.0, -42298.55296594536, -41114.37989644765, -27331.064919360273, -66737.19039406662, -28953.689808093288, -27498.591244052797, -50611.90433644108, -96851.02514636816, -187500.02235174447, -187500.02235174447, -42867.226048377284, -42079.058835394244, -76746.63683731995, -45455.64746327966, -83924.6089964639, -29153.894383179475, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.750524990595403E9, 0.0, 2025-06-21 18:56:30.595
12.0, -42302.84450088078, -41120.07959128375, -27329.88027690414, -66738.82207141187, -28953.175717970815, -27521.948817008593, -50617.31345859927, -96854.46731501429, -187500.02235174447, -187500.02235174447, -42843.62260623248, -42053.5778467152, -76729.113069667, -45425.42790477609, -83915.71300217068, -29127.876952633498, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.750524990602398E9, 0.0, 2025-06-21 18:56:30.602
14.0, -42300.58697469079, -41115.60924239269, -27316.849209886695, -66732.38476900873, -28943.385653899393, -27504.760325522464, -50627.81877849326, -96855.47314351477, -187500.02235174447, -187500.02235174447, -42855.64784474944, -42060.46218400743, -76726.11793590998, -45455.11102141273, -83909.23099627865, -29150.765138955732, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.750524990610413E9, 0.0, 2025-06-21 18:56:30.610
16.0, -42280.89508782567, -41099.47128289596, -27304.22047426945, -66717.2973415014, -28934.780232284098, -27503.285110388413, -50594.82760367723, -96838.86579738448, -187500.02235174447, -187500.02235174447, -42827.52935022466, -42042.91606461001, -76715.09852589351, -45416.8671866497, -83904.64888866531, -29119.159772295927, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.750524990618504E9, 0.0, 2025-06-21 18:56:30.618
18.0, -42312.52280622993, -41128.64030941013, -27335.714082206978, -66755.92115592016, -28961.647029119376, -27505.319119133845, -50622.275545868346, -96862.22337034027, -187500.02235174447, -187500.02235174447, -42844.53902775515, -42061.78093693029, -76722.5640085416, -45442.88461719568, -83906.14645554381, -29136.90705739344, 0.0, 0.0, 0.0, 193.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 256.0, 1.0, 1.750524990626505E9, 0.0, 2025-06-21 18:56:30.626
